Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1345,Javier Llabrés,es ESP,MF,Mallorca,es La Liga,23-139,2002,1.6,0,3,1,33.3,1.90,0.63,0.00,0.00,0,0
1346,Diego Llorente,es ESP,DF,Real Betis,es La Liga,32-165,1993,1.3,1,1,1,100.0,0.80,0.80,1.00,1.00,0,0
1347,Marcos Llorente,es ESP,DF,Atlético Madrid,es La Liga,30-363,1995,16.0,0,12,5,41.7,0.75,0.31,0.00,0.00,0,0
1348,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,30-194,1995,15.8,1,8,3,37.5,0.51,0.19,0.13,0.33,0,0
1349,Giovani Lo Celso,ar ARG,MF,Real Betis,es La Liga,29-294,1996,12.2,2,27,10,37.0,2.22,0.82,0.07,0.20,0,0
1350,Danny Loader,cm CMR,"MF,FW",Auxerre,fr Ligue 1,25-153,2000,15.1,2,40,11,27.5,2.65,0.73,0.05,0.18,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1351,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,31-064,1994,15.1,1,4,3,75.0,0.26,0.20,0.25,0.33,0,0
1352,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,28-020,1998,18.4,0,23,7,30.4,1.25,0.38,0.00,0.00,0,0
1353,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,23-267,2002,11.3,0,2,1,50.0,0.18,0.09,0.00,0.00,0,0
1354,Ruben Loftus-Cheek,eng ENG,"MF,FW",Milan,it Serie A,30-005,1996,9.8,1,25,4,16.0,2.56,0.41,0.04,0.25,0,0
1355,Sean Longstaff,eng ENG,MF,Leeds United,eng Premier League,28-090,1997,9.8,1,12,2,16.7,1.22,0.20,0.08,0.50,0,0
1356,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,28-100,1997,8.8,2,27,8,29.6,03.06,0.91,0.07,0.25,0,0
1357,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35-119,1990,18.0,0,1,0,0.0,0.06,0.00,0.00,,0,0
1358,David López,es ESP,DF,Mallorca,es La Liga,22-359,2003,1.7,0,0,0,,0.00,0.00,,,0,0
1359,David López,es ESP,DF,Girona,es La Liga,36-111,1989,2.2,0,1,1,100.0,0.45,0.45,0.00,0.00,0,0
1360,Diego López,es ESP,"MF,FW",Valencia,es La Liga,23-260,2002,14.2,3,21,5,23.8,1.48,0.35,0.14,0.60,0,0
1361,Fer López,es ESP,MF,Wolves,eng Premier League,21-249,2004,2.6,0,5,1,20.0,1.91,0.38,0.00,0.00,0,0
1362,Fermin López,es ESP,MF,Barcelona,es La Liga,22-262,2003,9.1,4,31,13,41.9,3.42,1.44,0.13,0.31,0,0
1363,Javi López,es ESP,DF,Oviedo,es La Liga,23-309,2002,5.4,0,1,0,0.0,0.19,0.00,0.00,,0,0
1364,Julien López,dz ALG,"FW,MF",Paris FC,fr Ligue 1,33-333,1992,0.5,0,0,0,,0.00,0.00,,,0,0
1365,Maxime Lopez,fr FRA,MF,Paris FC,fr Ligue 1,28-055,1997,16.3,0,7,4,57.1,0.43,0.24,0.00,0.00,0,0
1366,Pau López,es ESP,GK,Real Betis,es La Liga,31-046,1994,8.0,0,0,0,,0.00,0.00,,,0,0
1367,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,30-090,1995,11.4,0,14,3,21.4,1.23,0.26,0.00,0.00,0,0
1368,Dachi Lordkipanidze,ge GEO,MF,Cremonese,it Serie A,20-326,2005,0.3,0,0,0,,0.00,0.00,,,0,0
1369,Lorran,br BRA,FW,Pisa,it Serie A,19-208,2006,1.2,1,3,1,33.3,2.43,0.81,0.33,1.00,0,0
1370,Iker Losada,es ESP,MF,Levante,es La Liga,24-180,2001,3.1,2,9,3,33.3,2.87,0.96,0.22,0.67,0,0
1371,Tom Louchet,fr FRA,"MF,FW",Nice,fr Ligue 1,22-269,2003,8.1,1,11,1,9.1,1.36,0.12,0.09,1.00,0,0
1372,Marius Louer,fr FRA,MF,Angers,fr Ligue 1,18-323,2007,0.2,0,0,0,,0.00,0.00,,,0,0
1373,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,27-306,1998,1.8,0,3,1,33.3,1.68,0.56,0.00,0.00,0,0
1374,Pol Lozano,es ESP,MF,Espanyol,es La Liga,26-114,1999,15.4,1,10,3,30.0,0.65,0.20,0.10,0.33,0,0
1375,Sergio Lozano,es ESP,MF,Levante,es La Liga,26-310,1999,0.1,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1376,Lucas,br BRA,"MF,DF",Burnley,eng Premier League,24-310,2001,7.6,0,9,1,11.1,1.19,0.13,0.00,0.00,0,0
1377,Lorenzo Lucca,it ITA,FW,Napoli,it Serie A,25-140,2000,4.5,1,15,5,33.3,3.31,1.10,0.07,0.20,0,0
1378,Jhon Lucumí,co COL,DF,Bologna,it Serie A,27-216,1998,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,0,0
1379,Oier Luengo,es ESP,DF,Oviedo,es La Liga,28-078,1997,2.5,0,1,0,0.0,0.40,0.00,0.00,,0,0
1380,Florentino Luís,pt POR,MF,Burnley,eng Premier League,26-162,1999,16.3,0,8,1,12.5,0.49,0.06,0.00,0.00,0,0
1381,José Luis Gayà,es ESP,DF,Valencia,es La Liga,30-248,1995,14.2,1,8,1,12.5,0.56,0.07,0.13,1.00,0,0
1382,José Luis Morales,es ESP,MF,Levante,es La Liga,38-189,1987,3.3,1,8,4,50.0,2.41,1.20,0.00,0.00,1,1
1383,Douglas Luiz,br BRA,MF,Nottingham Forest,eng Premier League,27-264,1998,3.5,0,5,1,20.0,1.43,0.29,0.00,0.00,0,0
1384,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,32-260,1993,0.1,0,1,0,0.0,7.50,0.00,0.00,,0,0
1385,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,23-042,2002,16.0,1,5,2,40.0,0.31,0.13,0.20,0.50,0,0
1386,Dodi Lukebakio,be BEL,MF,Sevilla,es La Liga,28-126,1997,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,0,0
1387,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,29-168,1996,13.4,1,12,3,25.0,0.89,0.22,0.08,0.33,0,0
1388,Kristoffer Lund,us USA,"MF,DF",Köln,de Bundesliga,23-259,2002,12.1,0,10,1,10.0,0.83,0.08,0.00,0.00,0,0
1389,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,29-144,1996,18.0,1,6,2,33.3,0.33,0.11,0.17,0.50,0,0
1390,Mateus Lusuardi,br BRA,DF,Pisa,it Serie A,22-020,2004,2.2,0,4,0,0.0,1.82,0.00,0.00,,0,0
1391,Zito Luvumbo,ao ANG,"MF,FW",Cagliari,it Serie A,23-325,2002,3.7,0,12,6,50.0,3.28,1.64,0.00,0.00,0,0
1392,Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,32-098,1993,5.9,0,6,2,33.3,01.01,0.34,0.00,0.00,0,0
1393,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,26-343,1999,17.6,0,12,2,16.7,0.68,0.11,0.00,0.00,0,0
1394,Mathias Løvik,no NOR,MF,Parma,it Serie A,22-053,2003,5.2,0,3,0,0.0,0.57,0.00,0.00,,0,0
1395,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,23-324,2002,9.6,0,12,3,25.0,1.26,0.31,0.00,0.00,0,0
1396,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,27-035,1998,16.2,0,30,7,23.3,1.85,0.43,0.00,0.00,0,0
1397,Deiver Machado,co COL,"MF,DF",Nantes,fr Ligue 1,32-148,1993,2.1,0,0,0,,0.00,0.00,,,0,0
1398,Deiver Machado,co COL,MF,Lens,fr Ligue 1,32-148,1993,3.0,0,6,1,16.7,1.98,0.33,0.00,0.00,0,0
1399,Koki Machida,jp JPN,DF,Hoffenheim,de Bundesliga,28-156,1997,0.5,0,0,0,,0.00,0.00,,,0,0
1400,Lanroy Machine,fr FRA,MF,Angers,fr Ligue 1,20-107,2005,2.1,0,8,2,25.0,3.87,0.97,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1401,Shuto Machino,jp JPN,"FW,MF",Gladbach,de Bundesliga,26-120,1999,8.2,3,15,7,46.7,1.83,0.85,0.20,0.43,0,0
1402,Carlos Macià,es ESP,MF,Villarreal,es La Liga,17-149,2008,0.9,0,1,0,0.0,1.11,0.00,0.00,,0,0
1403,Brian Madjo,lu LUX,FW,Metz,fr Ligue 1,17-016,2009,1.7,0,3,1,33.3,1.72,0.57,0.00,0.00,0,0
1404,Noni Madueke,eng ENG,FW,Arsenal,eng Premier League,23-324,2002,6.5,0,11,3,27.3,1.70,0.46,0.00,0.00,0,0
1405,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28-200,1997,15.0,1,2,1,50.0,0.13,0.07,0.50,1.00,0,0
1406,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,28-040,1997,16.1,3,14,3,21.4,0.87,0.19,0.21,1.00,0,0
1407,Soungoutou Magassa,fr FRA,MF,West Ham United,eng Premier League,22-112,2003,8.2,1,4,2,50.0,0.49,0.24,0.25,0.50,0,0
1408,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27-243,1998,16.2,1,15,3,20.0,0.93,0.19,0.07,0.33,0,0
1409,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,26-146,1999,13.9,5,33,12,36.4,2.37,0.86,0.15,0.42,0,1
1410,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32-329,1993,5.8,1,5,1,20.0,0.86,0.17,0.20,1.00,0,0
1411,Arne Maier,de GER,MF,Augsburg,de Bundesliga,27-020,1999,0.0,0,0,0,,0.00,0.00,,,0,0
1412,Mike Maignan,fr FRA,GK,Milan,it Serie A,30-209,1995,20.6,0,0,0,,0.00,0.00,,,0,0
1413,Linton Maina,de GER,"MF,FW",Köln,de Bundesliga,26-219,1999,5.9,1,13,6,46.2,2.19,01.01,0.08,0.17,0,0
1414,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,31-083,1994,19.0,1,17,4,23.5,0.89,0.21,0.06,0.25,0,0
1415,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,20-284,2005,4.6,0,5,1,20.0,01.08,0.22,0.00,0.00,0,0
1416,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,28-152,1997,16.3,1,11,5,45.5,0.67,0.31,0.09,0.20,0,1
1417,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26-073,1999,9.6,0,0,0,,0.00,0.00,,,0,0
1418,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,28-011,1998,10.8,2,18,5,27.8,1.67,0.46,0.11,0.40,0,0
1419,Hamidou Makalou,ml MLI,MF,Brest,fr Ligue 1,19-197,2006,1.8,0,2,0,0.0,1.10,0.00,0.00,,0,0
1420,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,27-230,1998,9.2,2,22,8,36.4,2.39,0.87,0.09,0.25,0,0
1421,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,24-178,2001,8.0,0,0,0,,0.00,0.00,,,0,0
1422,Andrija Maksimović,rs SRB,FW,RB Leipzig,de Bundesliga,18-237,2007,1.0,0,2,0,0.0,1.94,0.00,0.00,,0,0
1423,Said El Mala,de GER,"FW,MF",Köln,de Bundesliga,19-155,2006,10.2,7,38,17,44.7,3.73,1.67,0.18,0.41,0,0
1424,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,26-164,1999,0.0,0,0,0,,0.00,0.00,,,0,0
1425,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,24-242,2001,2.8,0,2,0,0.0,0.72,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1426,Daniel Maldini,it ITA,MF,Atalanta,it Serie A,24-109,2001,2.9,0,8,2,25.0,2.73,0.68,0.00,0.00,0,0
1427,Youssef Maleh,ma MAR,MF,Lecce,it Serie A,27-159,1998,5.1,0,7,1,14.3,1.37,0.20,0.00,0.00,0,0
1428,Donyell Malen,nl NED,"FW,MF",Aston Villa,eng Premier League,27-019,1999,7.3,4,27,9,33.3,3.70,1.23,0.15,0.44,0,0
1429,Donyell Malen,nl NED,FW,Roma,it Serie A,27-019,1999,1.6,1,11,5,45.5,6.92,3.15,0.09,0.20,0,0
1430,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,32-269,1993,15.5,3,29,9,31.0,1.87,0.58,0.07,0.22,1,1
1431,Lennard Maloney,us USA,"DF,MF",Mainz 05,de Bundesliga,26-112,1999,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,0,0
1432,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28-271,1997,0.8,0,0,0,,0.00,0.00,,,0,0
1433,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25-121,2000,5.0,0,0,0,,0.00,0.00,,,0,0
1434,Felix Mambimbi,ch SUI,"FW,MF",Le Havre,fr Ligue 1,25-010,2001,5.4,1,6,2,33.3,1.12,0.37,0.17,0.50,0,0
1435,Aitor Mañas,es ESP,FW,Alavés,es La Liga,23-023,2003,0.4,0,0,0,,0.00,0.00,,,0,0
1436,Gianluca Mancini,it ITA,DF,Roma,it Serie A,29-286,1996,20.7,0,10,3,30.0,0.48,0.14,0.00,0.00,0,0
1437,Reinildo Mandava,mz MOZ,DF,Sunderland,eng Premier League,32-007,1994,12.9,0,3,0,0.0,0.23,0.00,0.00,,0,0
1438,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,34-098,1991,13.9,1,6,1,16.7,0.43,0.07,0.17,1.00,0,0
1439,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,28-213,1997,17.5,6,41,11,26.8,2.35,0.63,0.12,0.45,1,1
1440,Filippo Mane,it ITA,DF,Dortmund,de Bundesliga,20-326,2005,1.0,0,0,0,,0.00,0.00,,,0,0
1441,Mateus Mane,pt POR,"MF,FW",Wolves,eng Premier League,18-134,2007,7.0,2,16,8,50.0,2.28,1.14,0.13,0.25,0,0
1442,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,27-316,1998,0.4,0,1,0,0.0,2.73,0.00,0.00,,0,0
1443,Bendito Mantato,eng ENG,MF,Manchester Utd,eng Premier League,18-003,2008,0.2,0,0,0,,0.00,0.00,,,0,0
1444,Brad Mantsounga,cg CGO,DF,Nice,fr Ligue 1,18-144,2007,1.0,0,0,0,,0.00,0.00,,,0,0
1445,Johan Manzambi,ch SUI,MF,Freiburg,de Bundesliga,20-106,2005,13.9,3,27,7,25.9,1.94,0.50,0.11,0.43,0,0
1446,Sekou Mara,fr FRA,FW,Auxerre,fr Ligue 1,23-182,2002,8.1,0,18,7,38.9,2.22,0.86,0.00,0.00,0,0
1447,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,23-095,2002,13.0,0,3,2,66.7,0.23,0.15,0.00,0.00,0,0
1448,Marcão,br BRA,DF,Sevilla,es La Liga,29-237,1996,10.4,1,10,2,20.0,0.96,0.19,0.10,0.50,0,0
1449,Vincent Marchetti,fr FRA,MF,Paris FC,fr Ligue 1,28-208,1997,8.0,2,22,7,31.8,2.76,0.88,0.09,0.29,0,0
1450,Pablo Marí,es ESP,DF,Fiorentina,it Serie A,32-150,1993,9.0,0,2,0,0.0,0.22,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1451,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,31-008,1995,7.0,0,7,0,0.0,0.99,0.00,0.00,,0,0
1452,Mariano,do DOM,FW,Alavés,es La Liga,32-180,1993,3.1,0,5,3,60.0,1.60,0.96,0.00,0.00,0,0
1453,Luca Marianucci,it ITA,DF,Napoli,it Serie A,21-189,2004,1.3,0,1,0,0.0,0.76,0.00,0.00,,0,0
1454,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,es La Liga,20-298,2005,0.0,0,0,0,,0.00,0.00,,,0,0
1455,Rafa Marín,es ESP,DF,Villarreal,es La Liga,23-254,2002,13.6,1,3,1,33.3,0.22,0.07,0.33,1.00,0,0
1456,Marius Marin,ro ROU,MF,Pisa,it Serie A,27-151,1998,10.7,0,1,0,0.0,0.09,0.00,0.00,,0,0
1457,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,22-209,2003,7.9,0,10,3,30.0,1.26,0.38,0.00,0.00,0,0
1458,João Mário Lopes,pt POR,MF,Juventus,it Serie A,26-025,2000,2.9,0,3,0,0.0,01.05,0.00,0.00,,0,0
1459,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,31-267,1994,19.0,1,14,6,42.9,0.74,0.32,0.07,0.17,0,0
1460,Omar Marmoush,eg EGY,"FW,MF",Manchester City,eng Premier League,26-355,1999,3.1,1,11,4,36.4,3.50,1.27,0.09,0.25,0,0
1461,Marquinhos,br BRA,DF,Paris Saint-Germain,fr Ligue 1,31-259,1994,6.7,0,1,0,0.0,0.15,0.00,0.00,,0,0
1462,Callum Marshall,nir NIR,FW,West Ham United,eng Premier League,21-061,2004,0.7,0,1,0,0.0,1.50,0.00,0.00,,0,0
1463,Eric Martel,de GER,"MF,DF",Köln,de Bundesliga,23-274,2002,16.1,1,8,1,12.5,0.50,0.06,0.13,1.00,0,0
1464,Aarón Martín,es ESP,"MF,DF",Genoa,it Serie A,28-281,1997,17.0,1,6,3,50.0,0.35,0.18,0.17,0.33,0,0
1465,Carlos Martín,es ESP,"MF,FW",Rayo Vallecano,es La Liga,23-281,2002,2.1,0,3,0,0.0,1.42,0.00,0.00,,0,0
1466,Gerard Martín,es ESP,DF,Barcelona,es La Liga,24-027,2002,11.4,0,2,0,0.0,0.18,0.00,0.00,,0,0
1467,Iván Martín,es ESP,MF,Girona,es La Liga,26-348,1999,17.2,0,6,2,33.3,0.35,0.12,0.00,0.00,0,0
1468,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,19-280,2006,13.0,0,8,1,12.5,0.62,0.08,0.00,0.00,0,0
1469,Mario Martín,es ESP,"MF,FW",Getafe,es La Liga,21-329,2004,14.9,2,18,4,22.2,1.20,0.27,0.11,0.50,0,0
1470,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,24-224,2001,6.2,1,18,5,27.8,2.92,0.81,0.06,0.20,0,0
1471,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,22-278,2003,14.2,1,7,1,14.3,0.49,0.07,0.14,1.00,0,0
1472,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33-148,1992,18.5,0,0,0,,0.00,0.00,,,0,0
1473,Joaquín Martínez Gauna,es ESP,"MF,DF",Sevilla,es La Liga,22-203,2003,5.7,0,6,2,33.3,01.06,0.35,0.00,0.00,0,0
1474,Josep Martinez,es ESP,GK,Inter,it Serie A,27-246,1998,2.0,0,0,0,,0.00,0.00,,,0,0
1475,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,28-159,1997,18.3,12,75,29,38.7,04.09,1.58,0.16,0.41,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1476,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,28-010,1998,7.1,0,4,0,0.0,0.56,0.00,0.00,,0,0
1477,Pablo Martínez,es ESP,MF,Levante,es La Liga,27-340,1998,10.5,1,22,4,18.2,2.10,0.38,0.05,0.25,0,0
1478,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,23-098,2002,1.1,0,0,0,,0.00,0.00,,,0,0
1479,Toni Martínez,es ESP,FW,Alavés,es La Liga,28-212,1997,14.6,4,41,13,31.7,2.81,0.89,0.10,0.31,0,0
1480,Adam Marušić,me MNE,DF,Lazio,it Serie A,33-103,1992,18.5,0,9,5,55.6,0.49,0.27,0.00,0.00,0,0
1481,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,32-360,1993,10.4,1,1,1,100.0,0.10,0.10,1.00,1.00,0,0
1482,Adam Masina,ma MAR,DF,Torino,it Serie A,32-026,1994,2.6,0,0,0,,0.00,0.00,,,0,0
1483,Patrizio Masini,it ITA,MF,Genoa,it Serie A,25-001,2001,11.7,0,12,3,25.0,01.02,0.26,0.00,0.00,0,0
1484,Han-Noah Massengo,fr FRA,MF,Augsburg,de Bundesliga,24-205,2001,16.9,2,13,3,23.1,0.77,0.18,0.15,0.67,0,0
1485,Franco Mastantuono,ar ARG,"MF,FW",Real Madrid,es La Liga,18-167,2007,7.6,1,21,4,19.0,2.78,0.53,0.05,0.25,0,0
1486,Arthur Masuaku,cd COD,DF,Sunderland,eng Premier League,32-082,1993,1.4,0,1,0,0.0,0.71,0.00,0.00,,0,0
1487,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,33-082,1992,17.5,0,3,0,0.0,0.17,0.00,0.00,,0,0
1488,Igor Matanovic,hr CRO,FW,Freiburg,de Bundesliga,22-303,2003,5.3,5,22,10,45.5,4.16,1.89,0.18,0.40,1,2
1489,Pape Matar Sarr,sn SEN,MF,Tottenham Hotspur,eng Premier League,23-136,2002,7.9,2,6,4,66.7,0.76,0.51,0.33,0.50,0,0
1490,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,28-214,1997,21.2,8,54,26,48.1,2.55,1.23,0.09,0.19,3,3
1491,Nemanja Matić,rs SRB,MF,Sassuolo,it Serie A,37-180,1988,20.7,1,9,4,44.4,0.43,0.19,0.11,0.25,0,0
1492,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,17-321,2008,6.8,0,4,0,0.0,0.59,0.00,0.00,,0,0
1493,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,23-258,2002,14.0,1,6,1,16.7,0.43,0.07,0.17,1.00,0,0
1494,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eintracht Frankfurt,de Bundesliga,20-266,2005,7.9,2,13,4,30.8,1.64,0.50,0.15,0.50,0,0
1495,Alan Matturro,uy URU,DF,Levante,es La Liga,21-109,2004,4.2,1,3,1,33.3,0.71,0.24,0.33,1.00,0,0
1496,Neal Maupay,fr FRA,"FW,MF",Marseille,fr Ligue 1,29-167,1996,0.0,0,0,0,,0.00,0.00,,,0,0
1497,Konstantinos Mavropanos,gr GRE,DF,West Ham United,eng Premier League,28-048,1997,14.1,0,12,3,25.0,0.85,0.21,0.00,0.00,0,0
1498,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,20-285,2005,6.1,0,0,0,,0.00,0.00,,,0,0
1499,Eliezer Mayenda,es ESP,"FW,MF",Sunderland,eng Premier League,20-265,2005,6.4,1,10,5,50.0,1.55,0.78,0.10,0.20,0,0
1500,Ezra Mayers,bb BRB,DF,West Ham United,eng Premier League,19-012,2007,1.3,0,1,0,0.0,0.78,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1501,Borja Mayoral,es ESP,FW,Getafe,es La Liga,28-298,1997,11.6,4,14,7,50.0,1.21,0.61,0.29,0.57,0,1
1502,Senny Mayulu,fr FRA,"MF,FW",Paris Saint-Germain,fr Ligue 1,19-256,2006,11.2,2,20,6,30.0,1.79,0.54,0.10,0.33,0,0
1503,Ibrahim Maza,dz ALG,MF,Leverkusen,de Bundesliga,20-065,2005,8.9,2,21,7,33.3,2.36,0.79,0.10,0.29,0,0
1504,Noussair Mazraoui,ma MAR,"MF,DF",Manchester Utd,eng Premier League,28-075,1997,4.9,0,1,0,0.0,0.20,0.00,0.00,,0,0
1505,Luca Mazzitelli,it ITA,MF,Cagliari,it Serie A,30-074,1995,5.7,1,11,3,27.3,1.93,0.53,0.09,0.33,0,0
1506,Pasquale Mazzocchi,it ITA,MF,Napoli,it Serie A,30-185,1995,1.4,0,2,1,50.0,1.41,0.70,0.00,0.00,0,0
1507,Samuel Mbangula,be BEL,"MF,FW",Werder Bremen,de Bundesliga,22-012,2004,8.2,3,10,5,50.0,1.22,0.61,0.30,0.60,0,0
1508,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,19-030,2006,4.3,3,13,6,46.2,03.01,1.39,0.23,0.50,0,0
1509,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,27-039,1998,19.4,21,100,45,45.0,5.14,2.31,0.14,0.31,7,8
1510,Ibrahim Mbaye,sn SEN,"FW,MF",Paris Saint-Germain,fr Ligue 1,18-004,2008,8.0,1,15,6,40.0,1.88,0.75,0.07,0.17,0,0
1511,Malick Mbaye,sn SEN,MF,Metz,fr Ligue 1,21-297,2004,3.3,0,2,1,50.0,0.60,0.30,0.00,0.00,0,0
1512,Chancel Mbemba,cd COD,DF,Lille,fr Ligue 1,31-173,1994,7.6,0,5,3,60.0,0.66,0.40,0.00,0.00,0,0
1513,Bryan Mbeumo,cm CMR,"MF,FW",Manchester Utd,eng Premier League,26-174,1999,17.1,8,47,27,57.4,2.74,1.58,0.17,0.30,0,0
1514,Michel Mboula,ga GAB,"DF,MF",Metz,fr Ligue 1,22-273,2003,3.3,0,0,0,,0.00,0.00,,,0,0
1515,Pathé Mboup,sn SEN,MF,Brest,fr Ligue 1,22-155,2003,9.2,1,16,9,56.3,1.75,0.98,0.06,0.11,0,0
1516,Moustapha Mbow,sn SEN,DF,Paris FC,fr Ligue 1,25-326,2000,18.0,0,6,2,33.3,0.33,0.11,0.00,0.00,0,0
1517,James Mcatee,eng ENG,MF,Nottingham Forest,eng Premier League,23-102,2002,1.9,0,1,0,0.0,0.51,0.00,0.00,,0,0
1518,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,31-102,1994,17.7,3,18,7,38.9,01.02,0.40,0.17,0.43,0,0
1519,Weston McKennie,us USA,MF,Juventus,it Serie A,27-153,1998,16.8,2,24,9,37.5,1.43,0.54,0.08,0.22,0,0
1520,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,26-337,1999,16.1,0,5,1,20.0,0.31,0.06,0.00,0.00,0,0
1521,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,26-067,1999,6.9,0,8,2,25.0,1.16,0.29,0.00,0.00,0,0
1522,Scott McTominay,sct SCO,MF,Napoli,it Serie A,29-051,1996,20.0,5,55,21,38.2,2.75,01.05,0.09,0.24,0,0
1523,Facundo Medina,ar ARG,DF,Marseille,fr Ligue 1,26-245,1999,4.1,0,0,0,,0.00,0.00,,,0,0
1524,Jonas Meffert,de GER,MF,Hamburger SV,de Bundesliga,31-146,1994,1.6,0,0,0,,0.00,0.00,,,0,0
1525,Henrik Meister,dk DEN,FW,Pisa,it Serie A,22-072,2003,12.9,2,16,6,37.5,1.24,0.46,0.13,0.33,0,0
