Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
72,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20-191,2005,1.5,0,2,1,50.0,1.33,0.67,0.00,0.00,0,0
73,Thiago Almada,ar ARG,MF,Atlético Madrid,es La Liga,24-277,2001,5.7,3,14,9,64.3,2.46,1.58,0.21,0.33,0,0
74,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25-243,2000,8.8,0,8,2,25.0,0.91,0.23,0.00,0.00,0,0
75,Pontus Almqvist,se SWE,MF,Parma,it Serie A,26-202,1999,4.4,0,3,2,66.7,0.68,0.45,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
76,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,35-031,1990,16.9,1,14,2,14.3,0.83,0.12,0.00,0.00,1,1
77,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-306,2001,0.1,0,0,0,,0.00,0.00,,,0,0
78,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,24-156,2001,7.9,1,3,1,33.3,0.38,0.13,0.33,1.00,0,0
79,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-175,2003,16.0,3,22,9,40.9,1.37,0.56,0.14,0.33,0,0
80,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-210,2003,6.2,2,4,2,50.0,0.64,0.32,0.50,1.00,0,0
81,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-362,2000,16.9,7,43,20,46.5,2.54,1.18,0.12,0.25,2,3
82,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-269,2002,0.4,0,0,0,,0.00,0.00,,,0,0
83,Ayoube Amaimouni Echghouyab,ma MAR,FW,Eintracht Frankfurt,de Bundesliga,21-059,2004,0.5,1,1,1,100.0,2.20,2.20,1.00,1.00,0,0
84,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,21-101,2004,0.1,0,0,0,,0.00,0.00,,,0,0
85,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-140,2003,0.4,0,0,0,,0.00,0.00,,,0,0
86,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,22-181,2003,4.7,0,1,0,0.0,0.21,0.00,0.00,,0,0
87,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-354,1998,19.0,0,9,2,22.2,0.47,0.11,0.00,0.00,0,0
88,Mohamed Amine Sbai,fr FRA,MF,Angers,fr Ligue 1,25-084,2000,9.2,1,17,8,47.1,1.85,0.87,0.06,0.13,0,0
89,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-351,1996,10.9,2,9,2,22.2,0.83,0.18,0.22,1.00,0,0
90,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-093,1996,14.6,6,30,10,33.3,02.05,0.68,0.07,0.20,4,4
91,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,fr Ligue 1,19-194,2006,5.7,1,6,1,16.7,01.05,0.17,0.17,1.00,0,0
92,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,20-010,2006,3.0,0,2,1,50.0,0.66,0.33,0.00,0.00,0,0
93,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,25-264,2000,12.5,7,34,13,38.2,2.72,01.04,0.18,0.46,1,1
94,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-136,2000,19.7,1,14,4,28.6,0.71,0.20,0.07,0.25,0,0
95,Sofyan Amrabat,ma MAR,MF,Real Betis,es La Liga,29-160,1996,6.7,0,4,1,25.0,0.60,0.15,0.00,0.00,0,0
96,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-242,1996,21.5,0,8,2,25.0,0.37,0.09,0.00,0.00,0,0
97,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,23-083,2002,23.0,1,19,5,26.3,0.83,0.22,0.00,0.00,1,1
98,Tomoya Ando,jp JPN,DF,St Pauli,de Bundesliga,27-018,1999,1.3,0,0,0,,0.00,0.00,,,0,0
99,André,br BRA,MF,Wolves,eng Premier League,24-196,2001,17.8,0,5,0,0.0,0.28,0.00,0.00,,0,0
100,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-178,1990,13.9,2,14,3,21.4,01.01,0.22,0.14,0.67,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
101,Robert Andrich,de GER,"DF,MF",Leverkusen,de Bundesliga,31-128,1994,14.6,1,5,2,40.0,0.34,0.14,0.20,0.50,0,0
102,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-323,1998,1.7,1,1,1,100.0,0.60,0.60,1.00,1.00,0,0
103,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-198,2004,0.7,0,4,1,25.0,5.81,1.45,0.00,0.00,0,0
